file_name,article_title,journal,journal_group,publication_date,year,doi,article_url,peer_review_file_url,article_type,field_relevance_level,relevance_reason,matched_keywords,subfield_tags,download_status,file_size_bytes,sha256,notes
2024_nature_s41586-024-07409-w_peer_review.pdf,Low-latency automotive vision with event cameras,Nature,Nature,2024-05-29,2024,10.1038/s41586-024-07409-w,https://www.nature.com/articles/s41586-024-07409-w,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-07409-w/MediaObjects/41586_2024_7409_MOESM1_ESM.pdf,Article,high_core,Core contribution is an event-camera-based low-latency automotive vision system; sensing hardware and computer-vision engineering are central.,event cameras; automotive vision; low latency; sensor engineering; computer vision,automotive engineering; sensing; computer vision; electrical engineering,downloaded,361090,3056284d1b7cbde0920735492ef28ef27c7e853450c5d5d48004622a43d3c2a1,Incremental expansion 2026-06-25; QC: opens_with_pypdf=yes; pages=18; first_pages_peer_review_indicator=True; source_priority=Nature/NC.
2024_nature_s41586-024-07613-8_peer_review.pdf,Transposase-assisted target-site integration for efficient plant genome engineering,Nature,Nature,2024-06-26,2024,10.1038/s41586-024-07613-8,https://www.nature.com/articles/s41586-024-07613-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-07613-8/MediaObjects/41586_2024_7613_MOESM3_ESM.pdf,Article,high_core,The core method is efficient plant genome engineering through target-site integration; engineering method and validation are central.,plant genome engineering; target-site integration; transposase; genetic engineering; biotechnology,bioengineering; plant biotechnology; genome engineering,downloaded,1020713,8ada9a39ff5adba8e0c5ef2f5e4d6144f32c4482e9dbc7186cc996eb8c39fe1a,Incremental expansion 2026-06-25; QC: opens_with_pypdf=yes; pages=32; first_pages_peer_review_indicator=True; source_priority=Nature/NC.
2024_nature_s41586-024-08173-7_peer_review.pdf,Autonomous mobile robots for exploratory synthetic chemistry,Nature,Nature,2024-11-06,2024,10.1038/s41586-024-08173-7,https://www.nature.com/articles/s41586-024-08173-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08173-7/MediaObjects/41586_2024_8173_MOESM2_ESM.pdf,Article,high_core,Core contribution is an autonomous mobile robotic laboratory for chemical synthesis and discovery; the engineering system and workflow are central evidence.,autonomous mobile robots; robotic laboratory; synthetic chemistry; automation; self-driving lab,robotics; autonomous laboratory; chemical engineering; synthesis automation,downloaded,1147545,243f53980fd7e9d71e713eee970fa46c0104a86ce57f3f99f40867996ef7f01c,QC: opens_with_pypdf=yes; pages=36; first_page_peer_review_indicator=True; source_journal_group_checked=Nature
2024_nature_s41586-024-08449-y_peer_review.pdf,Quantum error correction below the surface code threshold,Nature,Nature,2024-12-09,2024,10.1038/s41586-024-08449-y,https://www.nature.com/articles/s41586-024-08449-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08449-y/MediaObjects/41586_2024_8449_MOESM2_ESM.pdf,Article,medium_high_related,"Quantum error correction is a systems-level quantum computing engineering problem, though the article also has strong physics content.",quantum error correction; surface code; quantum computing; fault tolerance; systems engineering,quantum engineering; computer engineering; error correction,downloaded,1225306,94cd3975a958ac39f61799fb9420701b2350d2bc823044970784b3cdd6e5d270,Incremental expansion 2026-06-25; QC: opens_with_pypdf=yes; pages=34; first_pages_peer_review_indicator=True; source_priority=Nature/NC.
2025_nature_s41586-024-08404-x_peer_review.pdf,Distributed quantum computing across an optical network link,Nature,Nature,2025-02-05,2025,10.1038/s41586-024-08404-x,https://www.nature.com/articles/s41586-024-08404-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08404-x/MediaObjects/41586_2024_8404_MOESM1_ESM.pdf,Article,medium_high_related,"The article depends on engineered quantum-network hardware and distributed computing architecture, while also being framed as quantum physics.",distributed quantum computing; optical network; quantum network; photonic link; systems engineering,quantum engineering; optical networking; computer engineering,downloaded,237815,dbc2d91475581384ea5f8af72205908507e2a988023183b2f06ffd7656590cc2,Incremental expansion 2026-06-25; QC: opens_with_pypdf=yes; pages=15; first_pages_peer_review_indicator=True; source_priority=Nature/NC.
2025_nature_s41586-024-08501-x_peer_review.pdf,Engineering a genomically recoded organism with one stop codon,Nature,Nature,2025-02-05,2025,10.1038/s41586-024-08501-x,https://www.nature.com/articles/s41586-024-08501-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08501-x/MediaObjects/41586_2024_8501_MOESM3_ESM.pdf,Article,high_core,Genome engineering is explicit in the title and central experimental design; the organism design cannot be separated from engineering methods.,genome engineering; genomically recoded organism; synthetic biology; genetic code; stop codon,bioengineering; synthetic biology; genome engineering,downloaded,323678,f214bbb9e2af707e54690ae7b24cdccb9bcf3ad4951a2716491101bf2c24d9ab,Incremental expansion 2026-06-25; QC: opens_with_pypdf=yes; pages=24; first_pages_peer_review_indicator=True; source_priority=Nature/NC.
2025_nature_s41586-024-08445-2_peer_review.pdf,Interferometric single-shot parity measurement in InAs–Al hybrid devices,Nature,Nature,2025-02-19,2025,10.1038/s41586-024-08445-2,https://www.nature.com/articles/s41586-024-08445-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08445-2/MediaObjects/41586_2024_8445_MOESM2_ESM.pdf,Article,medium_high_related,"Hybrid quantum-device design and measurement engineering are essential, although the central framing is also condensed-matter/quantum physics.",hybrid devices; parity measurement; quantum devices; InAs-Al; measurement engineering,quantum engineering; device engineering; electrical engineering,downloaded,457487,abfeea804bf72b0590669be8914cefffb6da93e67902b8d3fa072a4aaa8699d9,Incremental expansion 2026-06-25; QC: opens_with_pypdf=yes; pages=23; first_pages_peer_review_indicator=True; source_priority=Nature/NC.
2025_nature_s41586-025-08978-0_peer_review.pdf,Encapsulated Co-Ni alloy boosts high-temperature CO2 electroreduction,Nature,Nature,2025-05-14,2025,10.1038/s41586-025-08978-0,https://www.nature.com/articles/s41586-025-08978-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-08978-0/MediaObjects/41586_2025_8978_MOESM3_ESM.pdf,Article,high_core,High-temperature electrochemical reactor/catalyst performance for CO2 conversion is a core chemical and energy engineering claim.,CO2 electroreduction; high-temperature electrolysis; Co-Ni alloy; SOEC; catalysis,chemical engineering; electrochemical engineering; energy conversion; catalysis,downloaded,2485373,52d052d2b647b1c16ac5b3c6ba0397c246cb619a9a619b9f4b17a166522284f1,QC: opens_with_pypdf=yes; pages=44; first_page_peer_review_indicator=True; source_journal_group_checked=Nature
2025_nature_s41586-025-09170-0_peer_review.pdf,Controlling diverse robots by inferring Jacobian fields with deep networks,Nature,Nature,2025-06-25,2025,10.1038/s41586-025-09170-0,https://www.nature.com/articles/s41586-025-09170-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09170-0/MediaObjects/41586_2025_9170_MOESM2_ESM.pdf,Article,high_core,Robotics control method and experimental validation across robot embodiments are the central claim.,robot control; Jacobian fields; deep networks; visuomotor control,robotics; control engineering; machine learning; embodied systems,downloaded,50282845,7434ce02f6d640073f59d23be146c8b3dc4080080ec11be8cf19e611bbcce075,QC: opens_with_pypdf=yes; pages=35; first_page_peer_review_indicator=True; source_journal_group_checked=Nature
2025_nature_s41586-025-09459-0_peer_review.pdf,Real-time in situ magnetization reprogramming for soft robotics,Nature,Nature,2025-08-04,2025,10.1038/s41586-025-09459-0,https://www.nature.com/articles/s41586-025-09459-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09459-0/MediaObjects/41586_2025_9459_MOESM2_ESM.pdf,Article,high_core,Soft robotic actuation/reprogramming method and device demonstrations are central.,soft robotics; magnetization reprogramming; magnetic actuation; in situ,soft robotics; mechanical engineering; biomedical engineering; actuation,downloaded,19550348,584ec83c898870d76354e92468b99cf48984dab975a88a3e92c85ded97ffb6c2,QC: opens_with_pypdf=yes; pages=45; first_page_peer_review_indicator=False; source_journal_group_checked=Nature
